"number","short_description","close_notes"
"INC0651059","Price mismatch observed between SRP and HDP for multiple hotels and rate plans","Issue Summary: Price mismatch observed between SRP and HDP for multiple hotels and rate plans on 30TH APRIL 
Solution Provided: We noticed that there was price mismatch between SRP and HDP for the hotel ROCTHY, SLOWES, LONCIT, WELSTA . AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further OnDemand job was run for the hotel (ROCTHY, SLOWES, LONCIT, WELSTA) for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies.
Related Tickets: INC0541949
"
"INC0650950","Price mismatch observed between SRP and HDP for multiple hotels and rate plans.","issue summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans
solution provided : We noticed that there was price mismatches between SRP and HDP for the hotels BICOXF, BREPTI, BRIBAR.  Av Cache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further OnDemand job was run for the 3 hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the Av Cache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will try to deep dive on the discrepancies. Hence resolving the incident.
Parent Incident : INC0541949"
"INC0650930","[P-26041121] [Problem] Marketing Access Token Error  from 10:26?AM to 10:37 AM  BST","Invalid Token has been cleared and new token is been populated."
"INC0650350","[P-26041097] [Problem] Marketing Access Token Error from 2:36?PM to 3:05 PM BST","The invalid token has been evicted from Redis Cache and could see the valid token being generated since then. Also the errors have stopped"
"INC0650133","[P-26041093]  Failure rate increased in address-lookup-entity-service:AddressLookupController from 8:39?AM to 9:13 AM BST","The request failed because the system tried to use an expired reference to fetch the address details. No issues observed and no impact on bookings"
"INC0650122","[P-26041091] [Problem] Marketing Access Token Error  from 08:30?AM to 08:42 AM BST","Issue Summary : [P-26041091]  [Problem] Marketing Access Token Error from 08:30?AM to 08:42 AM BST, 29th Apr 2026.

Solution Provided : We noticed increase in errors on marketing service between 08:30?AM to 08:42 AM BST, 29th Apr 2026. The errors were due to ""CDH Exception - Unauthorized. Access token is missing or invalid."" with a 401 response. As an agreed workaround, the faulty token was evicted from the Redis cache to mitigate the issue. Post which the errors stopped and the service failure rate was back to normal. No further actions required. CTECH-3878 has been raised for the fix from Engg team. Hence resolving the incident.

Related Tickets : CTECH-3878"
"INC0650043","[P-26041089] On-Demand Jobs Finished Abnormally from 7:00?AM to 7:30 AM UTC","Issue Summary : [P-26041089] On-Demand Jobs Finished Abnormally from 7:00?AM to 7:30 AM UTC on 29th Apr 2026

Solution Provided :  At 01:28 AM UK time, there were 9 timeout errors occurred within a span of less than a minute while trying to fetch details from Opera. As a result, the first three jobs were impacted and terminated abruptly. As a mitigation, we manually re-ran the on-demand process, and the jobs are have been  successfully completed without further issues. Hence resolving the incident.

Related Tickets : NA"
"INC0649651","[P-26041062] [Problem] Marketing Access Token Error  from 2:59?PM to 3:20 PM UTC","The invalid token has been evicted from Redis Cache and could see the valid token being generated since then. Also the errors have stopped around 15:06 UK time"
"INC0649561","Price mismatch observed between SRP and HDP for a single hotel and rate plan on 28 APRIL","Issue summary: Price mismatch observed between SRP and HDP for a single hotel and rate plan on 28 APRIL
Solution provided: We noticed that there was price mismatch between SRP and HDP for the hotel POOPTI . AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for the hotel (POOPTI) for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies.
Parent Incident: INC0541949
"
"INC0649496","[P-26041051] On-Demand Scheduled Jobs Finished Abnormally from 7:00?AM to 7:30 AM UTC","Issue Summary : [P-26041051] On-Demand Scheduled Jobs Finished Abnormally on 28th April 2026.

Solution Provided : An alert was triggered as six or more jobs completed within the first two hours of the scheduled start of the cronjob. Among these, two jobs finished significantly faster (38 minutes and 27 minutes) compared to the other eleven. All the 13jobs completed around 04:08AM UK time (usually completed around 5AM). As a mitigation, we re-ran those two on?demand jobs. Both of these jobs have completed successfully, with durations of 61 minutes and 64 minutes respectively. No further actions required. Hence resolving the incident.

Related Tickets :  NA"
"INC0649486","Digital - Business - Bookings missing from dashboard","issue summary : Digital - Business - Bookings missing from dashboard
solution provided : The provided bookings has been repushed by HMS and we verified the bookings are now present in CDH,CCUI and operaUI
Parent incident : NA"
"INC0649436","[P-26041054] [Problem] Marketing Access Token Error  from 07:58?AM to 08:06 AM BST","Issue Summary : [P-26041054] [Problem] Marketing Access Token Error  from 07:58?AM to 08:06 AM BST, 28th April 2026

Solution Provided : We noticed increase in errors on marketing service between 07:58?AM to 08:06 AM BST, 28th April 2026. The errors were due to ""CDH Exception - Unauthorized. Access token is missing or invalid."" with a 401 response. As an agreed workaround, the faulty token was evicted from the Redis cache to mitigate the issue. Post which the errors stopped and the service failure rate was back to normal. No further actions required. CTECH-3878 has been raised for the fix from Engg team. Hence resolving the incident.

Related Tickets : CTECH-3878"
"INC0649046","[P-26041023] Failure rate increase in wb-restaurants-web: next from 03:01?PM to 03:39 PM","The failures are caused by 500 errors due to premature connection closure and 400 errors where mandatory parameters (companyId or siteId) are missing.
Requests with valid parameters are working as expected, and no other booking issues were observed across sites."
