"number","short_description","close_notes"
"INC0666404","[P-2605860] Business Events Processing Stopped from 05:00 AM to 05:20 AM","Root cause:
The root cause is not explicitly identified in the provided incident details. The incident notes indicate that business events processing stopped, and a callout to L2 was raised to investigate and restart the affected application. However, the resolution activity mentions that business events 6 had not stopped processing, implying the issue may have been resolved without identifying a specific root cause. 

Resolution steps:
- Raised a callout to L2 to investigate the issue and restart the affected application.
- Monitored the situation, as indicated by the work note stating that business events 6 had not stopped processing, leading to the conclusion that the issue was resolved."
"INC0666357","[P-2605852]  Failure rate increase from 6:44?PM UTC","Root cause:
The failure rate spike is caused by reservation search calls failing, with a majority of calls related to a specific basket. 

Resolution steps:
- Identified that the failure rate increase is due to reservation search call failures, particularly for a specific basket."
"INC0665869","[P-2605847] No Booking with Payment from 09:30 AM to 09:45 AM","Issue Summary : No Booking with Payment for the hotels BRAMUL and COLALB.

Solution Provided : Hotel BRAMUL has no availability until October 1 due to a full refurbishment, as confirmed by Comm Ops. A test PayNow booking for arrival on October 2 was completed successfully without any issues, which aligns with the expected behavior. Comm Ops also confirmed that Hotel COLALB has been closed for bookings starting May 27. Hence both hotels, BRAMUL and COLALB, have been added to the exclusion list for the alert, and no further actions are required. The incident is therefore considered resolved.

Related Tickets : NA"
"INC0665835","[P-2605846] Marketing Access Token Error from 07:49 AM to 08:17 AM","Root cause:
Invalid token in Redis cache impacting the marketing-service-opera Kubernetes workload 

Resolution steps:
- Raised callout to L2 to clear the invalid token from Redis cache, enabling the system to fetch a new token
- Updated the cache after L2 intervention
- Closed the ticket following resolution"
"INC0665824","[P-2605843] On-Demand Jobs Finished Abnormally from 07:00 AM to 07:30 AM","Root cause:
On-Demand Refresh scheduled jobs finished too quickly, resulting in more than 50% of active jobs completing before 2AM UTC. 

Resolution steps:
- Ran On-Demand (OD) jobs for all affected dates to address the abnormal completion."
"INC0665633","[P-2605839] [Distribution Problem] generic.server.exception in DC from 01:42 AM to 01:47 AM","Root cause:
A spike in Oracle response times and error rates led to generic.server.exception in DC availability. 

Resolution steps:
- Investigated the spike in Oracle response times and error rates observed around the time of the incident.
- Identified the correlation between the spike and the occurrence of generic.server.exception in DC."
"INC0665207","[P-2605821] Response time degradation in github.com and distribution-config-server-service: EnvironmentController from 12:51 PM to 02:01 PM","Issue Summary : Response time degradation in github.com and distribution-config-server-service: EnvironmentController from 12:51 PM to 02:01 PM, 27th May.

Solution Provided : These errors occur because actuator refresh calls are failing intermittently when attempting to retrieve configurations from the EnvironmentController component of the distribution-config-server-service. Some failures are caused by unauthorized access errors, while others result from read timeouts due to slow response from github. Importantly, there is no impact on the customer journey. No further actions required and hence resolving the incident.

Related Tickets : NA"
"INC0665114","PIB DE - Log-in issue   Comp.ID: 1972979242 / Walter Schneider GmbH & Co.KGus","As per Caller confirmation user able to login after adding profile in Auth0. Hence closing this incident"
"INC0664503","DE - Digital - PI.com -  guests informed us that they were trying to book on our website but couldn't. In one case, the credit card was even charged","issue summary :   guests informed us that they were trying to book on our website but couldn't. In one case, the credit card was even charged
solution provided : During investigation, we identified that on 26 May, reservations for Hotel Berlin City Wilmersdorf were not confirmed due to an error encountered while sending deposit folios for hotelId = BERWIL.
This led to an Opera room checkout error between 08:44 AM BST and 09:31 AM BST, during which PayNow reservations were not confirmed.
Under incident INC0664460, the HMS team implemented a workaround, after which the issue was resolved. Post-fix, test bookings for PayNow reservations were performed successfully, confirming that the hotel booking was functioning as expected
Parent incident : INC0664460"
"INC0664446","[P-2605765] No Booking with Payment from 8:30?AM UTC","Issue Summary : No Booking with Payment for the hotel SHEBAR.

Solution Provided :  All rates are restricted from May 26 to September 1 due to site maintenance, leaving the hotel SHEBAR under CTB with no resolution timeline yet. A PayNow booking test for SHEBAR hotel for arrival date of September 11 was successful. To prevent false alerts, SHEBAR will be added to the exclusion list until operations resume. Hence resolving the incident.

Related Tickets : NA"
"INC0664310","[P-2605740]  Failure rate increase from 1:48?AM to 2:21 AM UTC","we observed failure rate is primarily caused by incoming requests targeting the invalid endpoint /gb/. Additionally, analysis shows that a significant portion of these requests originate from the client IP address 18.168.180.137, which is contributing to increase in failure rate.
 "
"INC0664089","[P-2605729] Marketing Access Token Error from 03:41 PM to 04:05 PM","Issue Summary : [P-2605729] Marketing Access Token Error from 03:41 PM to 04:05 PM, 25th May.

Solution Provided : We noticed increase in errors on marketing service between 03:40 ?PM to 03:50 PM BST, 25th May 2026. The errors were due to ""CDH Exception - Unauthorized. Access token is missing or invalid."" with a 401 response. As an agreed workaround, the faulty token was evicted from the Redis cache to mitigate the issue. Post which the errors stopped and the service failure rate was back to normal. No further actions required. CTECH-3878 has been raised for the fix from Engg team. Hence resolving the incident.

Related Tickets : CTECH-3878
"
"INC0664083","[P-2605728] [Distribution Problem] Spike in Distribution Errors from 03:10 PM to 03:16 PM","Issue Summary : [P-2605728] [Distribution Problem] Spike in Distribution Errors from 03:10 PM to 03:16 PM, 25th May.

Solution Provided : During the issue window, the errors (Pre?Allocated Room is Not Ready, Kiosk Interface Not Currently Available -retry,  Invalid reservation numbers) that spiked were identified as acceptable and can be safely ignored in the alert query. We have now adjusted the alert configuration to ensure these business?known errors are excluded, preventing false alerts in the future. Hence resolving the incident.

Related tickets : NA"
"INC0663961","[P-2605723] No Booking with Payment from 9:30?AM UTC","Issue Summary :  No Booking with Payment for the hotel DATLCF

Solution Provided : DATLCF – Dartmouth is an NSO hotel that has not yet gone live for bookings. It is currently in the setup phase, which is why no reservations (with or without payments) have been created so far. We have included this hotel in the exclusion list to avoid such false trigger until the hotel is fully live. Hence resolving the incident,

Related Tickets : NA"
"INC0663042","[P-2605683] Drop in Bookings during Business Hours from 02:30 PM to 03:05 PM","Hi Team, As these incidents were triggered during Non Business hours and the drop is expected during the Weekends as the user sessions are reduced. 

Hence closing this incident. 

Thank you,
Sundar M"
"INC0662902","[P-2605681]  Failure rate increase from 9:09?AM UTC","Hi Team, these errors are due to invalid basket reference is being hit by the bot and there is no business impact on it. 

Hence closing this incident.

Thank you,
Sundar M"
"INC0662853","[P-2605679] Drop in Bookings during Business Hours from 8:30?AM UTC","Hi Team, As these incidents were triggered during Non Business hours and the drop is expected during the Weekends as the user sessions are reduced. 

Hence closing this incident. 

Thank you,
Sundar M"
"INC0662822","[P-2605675] Drop in Bookings during Business Hours from 7:30?AM UTC","Hi Team, As these incidents were triggered during Non Business hours and the drop is expected during the Weekends as the user sessions are reduced. 

Hence closing this incident. 

Thank you,
Sundar M"
"INC0662697","Price mismatch observed between SRP and HDP for multiple hotels and rate plans.","Issue Summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans on 22nd May.
Solution Provider:We noticed that there was price mismatches between SRP and HDP for the hotels LONSMI, GLASTA, CARNOR, LONARC, MANSPI, LONSTM. AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for all the 6hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will try to deep dive on the discrepancies. Hence resolving the incident.
Parent Incident:INC0541949

"
